Title_ID,Author_ID,Advance,Royalty
BU1032,213-46-8915,2000.000,3.998
BU1032,409-56-7008,3000.000,5.997
PS2091,899-46-2035,1137.500,1.971
PS2091,998-72-3567,1137.500,1.971
PC8888,427-17-2319,4000.000,50.000
PC8888,846-92-7186,4000.000,50.000
PS2091,899-46-2035,1137.500,49.275
PS2091,998-72-3567,1137.500,49.275
PS2091,899-46-2035,1137.500,6.570
PS2091,998-72-3567,1137.500,6.570
TC3218,807-91-6654,7000.000,83.800
TC4203,648-92-1872,4000.000,33.460
TC7777,267-41-2394,2400.000,8.994
TC7777,472-27-2349,2400.000,8.994
TC7777,672-71-3249,3200.000,11.992
PS2091,899-46-2035,1137.500,13.140
PS2091,998-72-3567,1137.500,13.140
MC3021,722-51-5454,11250.000,13.455
MC3021,899-46-2035,3750.000,4.485
PS1372,724-80-9391,1750.000,10.795
PS1372,756-30-7391,5250.000,32.385
PS2106,998-72-3567,6000.000,17.500
PS3333,172-32-1176,2000.000,29.985
PS7777,486-29-1786,4000.000,19.975
BU7832,274-80-9391,5000.000,29.985
MC2222,712-45-1867,0.000,23.988
BU2075,213-46-8915,10125.000,25.116
MC3021,722-51-5454,11250.000,8.073
MC3021,899-46-2035,3750.000,2.691
BU1032,213-46-8915,2000.000,7.996
BU1032,409-56-7008,3000.000,11.994
BU1111,267-41-2394,2000.000,11.950
BU1111,724-80-9391,3000.000,17.925
PC1035,238-95-7766,7000.000,110.160
