Title_ID,Author_ID,SUM(Royalty),Advance
BU1032,213-46-8915,11.994,2000.000
BU1032,409-56-7008,17.991,3000.000
PS2091,899-46-2035,70.956,1137.500
PS2091,998-72-3567,70.956,1137.500
PC8888,427-17-2319,50.000,4000.000
PC8888,846-92-7186,50.000,4000.000
TC3218,807-91-6654,83.800,7000.000
TC4203,648-92-1872,33.460,4000.000
TC7777,267-41-2394,8.994,2400.000
TC7777,472-27-2349,8.994,2400.000
TC7777,672-71-3249,11.992,3200.000
MC3021,722-51-5454,21.528,11250.000
MC3021,899-46-2035,7.176,3750.000
PS1372,724-80-9391,10.795,1750.000
PS1372,756-30-7391,32.385,5250.000
PS2106,998-72-3567,17.500,6000.000
PS3333,172-32-1176,29.985,2000.000
PS7777,486-29-1786,19.975,4000.000
BU7832,274-80-9391,29.985,5000.000
MC2222,712-45-1867,23.988,0.000
BU2075,213-46-8915,25.116,10125.000
BU1111,267-41-2394,11.950,2000.000
BU1111,724-80-9391,17.925,3000.000
PC1035,238-95-7766,110.160,7000.000
